Index,FileName,ImgLink,Brand,brandLink,Class,imgText
19,Charlotte-Anna-11-768x1148.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FCharlotte-Anna-11-768x1148.jpeg?v=1637829927606,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, robe, ifOnlyIf, ifonlyif",Lounging in an If Only If gown
20,Mya-Emily-Ivory-11-768x1038.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FMya-Emily-Ivory-11-768x1038.jpeg?v=1637829946641,If Only If,https://ifonlyif.co.uk/,"sleepwear, slowFashion, slowfashion, nightgown, dress, ifOnlyIf, ifonlyif",Lounging in an If Only If gown
21,1018_FIDO_POLKA_PAW__014_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F1018_FIDO_POLKA_PAW__014_2048x.jpeg?v=1637829796231,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, dog, pets, dl1961, DL1961, inclusivesizing, inclusive",DL 1961 makes denim garments for fido too!
22,11202_Jay_JetBlack_037_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F11202_Jay_JetBlack_037_2048x.jpeg?v=1637829835771,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pants, dl1961, DL1961, inclusivesizing, inclusive","The average pair of jeans requires 1,500 gallons of water to produce. DL1961 says its average pair only requires less than 10 gallons!"
23,XXX_Zita_Manilla_033_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FXXX_Zita_Manilla_033_2048x.jpeg?v=1637829871928,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, shirt, buttonDown, dl1961, DL1961, inclusivesizing, inclusive",A white denim top from DL 1961
24,XXX_Zita_Manilla_045_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2FXXX_Zita_Manilla_045_2048x.jpeg?v=1637829878911,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, shirt, buttonDown, dl1961, DL1961, inclusivesizing, inclusive",A white denim top from DL 1961
25,13006_Hepburn31_Maritime_038_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F13006_Hepburn31_Maritime_038_2048x.jpeg?v=1637829856625,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, dl1961, DL1961, inclusivesizing, inclusive","The average pair of jeans requires 1,500 gallons of water to produce. DL1961 says its average pair only requires less than 10 gallons!"
26,13006_Hepburn_Maritime_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F13006_Hepburn_Maritime_2048x.jpeg?v=1637829843559,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pants, dl1961, DL1961, inclusivesizing, inclusive","The average pair of jeans requires 1,500 gallons of water to produce. DL1961 says its average pair only requires less than 10 gallons!"
27,13008_Bridget_Sequoia_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F13008_Bridget_Sequoia_2048x.jpeg?v=1637829860452,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pants, dl1961, DL1961, inclusivesizing, inclusive",Check out these jeans from DL 1961!
28,26302_Olivia_BluePrint_036_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F26302_Olivia_BluePrint_036_2048x.jpeg?v=1637829862993,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, childrens, dl1961, DL1961, inclusivesizing, inclusive",Children's denim
29,1103732_HUNTER_ONYX_266_2048x.jpeg,https://cdn.glitch.me/da11bd13-ac78-43e4-83d3-616ee98abe34%2F1103732_HUNTER_ONYX_266_2048x.jpeg?v=1637829866126,DL 1961,https://www.dl1961.com/,"jeans, denim, modal, lyocell, inclusiveSizing, pants, dl1961, DL1961, inclusivesizing, inclusive",Check out these jeans from DL 1961!
